author,title,journal,volume,number,pages,year,publisher,doi
"Erin E. Peters-Burton, Hong H. Tran and Brittany Miller",Design-Based Research as Professional Development: Outcomes of Teacher Participation in the Development of the Science Practices Innovation Notebook (SPIN),Journal of Science Teacher Education,35,3,221--242,2024,Routledge,10.1080/1046560X.2023.2242665
"Yi Jin, Shenghua Zha and Janet Cowart",In critical need of research-based instructional strategies and assessment: an investigation of ePCR math lesson plans for middle school students,Journal of Research on Technology in Education,0,0,1--24,2023,Routledge,10.1080/15391523.2023.2232900
Arif Rachmatullah and Eric N. Wiebe,Changes and Sources of Changes of Middle School Teachers’ Self-efficacy for Teaching Science in A Computationally Rich Environment: A Mixed-Methods Study,Journal of Science Teacher Education,34,2,132--156,2023,Routledge,10.1080/1046560X.2022.2035990
"Hsien-Sheng Hsiao, Yi-Wei Lin, Kuen-Yi Lin, Chien-Yu Lin, Jheng-Han Chen and Jyun-Chen Chen",Using robot-based practices to develop an activity that incorporated the 6E model to improve elementary school students’ learning performances,Interactive Learning Environments,30,1,85--99,2022,Routledge,10.1080/10494820.2019.1636090
Panayotis Giannakouros and Lihua Chen,A problem-solving approach to data analysis for economics,Forum for Social Economics,47,1,87--114,2018,Routledge,10.1080/07360932.2015.1078737
"Sally A. M. Hogenboom, Felienne F. J. Hermans and Han L. J. Van der Maas",Computerized adaptive assessment of understanding of programming concepts in primary school children,Computer Science Education,32,4,418--448,2022,Routledge,10.1080/08993408.2021.1914461
"Meghan M. Parkinson, Seppe Hermans, David Gijbels and Daniel L. Dinsmore",Exploring debugging processes and regulation strategies during collaborative coding tasks among elementary and secondary students,Computer Science Education,0,0,1--28,2024,Routledge,10.1080/08993408.2024.2305026
"Jiahong Su, Weipeng Yang and Hui Li","A Scoping Review of Studies on Coding Curriculum in Early Childhood: Investigating Its Design, Implementation, and Evaluation",Journal of Research in Childhood Education,37,2,341--361,2023,Routledge,10.1080/02568543.2022.2097349
"Pascua Padró-Collazo, Isaris R. Quiñones-Pérez, Rafael A. Arce-Nazario, Joseph Carroll-Miranda, Lizzette M. Velázquez-Rivera, Brenda Lee Estévez-Moreno and Lilliana Marrero-Solís","Partnerships Achieve Creative Connections Between Coding, Music, and Science",Connected Science Learning,5,1,12318622,2023,Routledge,10.1080/24758779.2023.12318622
Danielle Boyd Harlow and Anne Emerson Leak,Mapping students’ ideas to understand learning in a collaborative programming environment,Computer Science Education,24,2-3,229--247,2014,Routledge,10.1080/08993408.2014.963360
"Shuchi Grover, Roy Pea and Stephen Cooper",Designing for deeper learning in a blended computer science course for middle school students,Computer Science Education,25,2,199--237,2015,Routledge,10.1080/08993408.2015.1033142
"Maren Harris, Alexandra Brasili, Karen Peterman, Ian Collins, Amy Hafford, Abby Plummer, Leslie Salter and Marci Train",A model of programmatic co-design with teachers: five factors for success,CoDesign,0,0,1--16,2023,Taylor \& Francis,10.1080/15710882.2023.2280582
"Einat Brainin, Adina Shamir and Sigal Eden","Robot programming intervention for promoting spatial relations, mental rotation and visual memory of kindergarten children",Journal of Research on Technology in Education,54,3,345--358,2022,Routledge,10.1080/15391523.2020.1858464
Rafael V. Ribeiro and Ricardo da Silva Torres,Sentinel plants as programmable processing units: insights from a multidisciplinary perspective about stress memory and plant signaling and their relevance at community level,Plant Signaling \& Behavior,13,10,e1526001,2018,Taylor \& Francis,10.1080/15592324.2018.1526001
"Noawanit Songkram, Suparoek Chootongchai, Chayakarn Keereerat and Nutthakorn Songkram",Potential of ChatGPT in academic research: exploring innovative thinking skills,Interactive Learning Environments,0,0,1--23,2024,Routledge,10.1080/10494820.2024.2375342
"Camilo Vieira, Alejandra J. Magana, Anindya Roy and Michael L. Falk",Student Explanations in the Context of Computational Science and Engineering Education,Cognition and Instruction,37,2,201--231,2019,Routledge,10.1080/07370008.2018.1539738
"Alejandro Espinal, Camilo Vieira and Valeria Guerrero-Bequis",Student ability and difficulties with transfer from a block-based programming language into other programming languages: a case study in Colombia,Computer Science Education,33,4,567--599,2023,Routledge,10.1080/08993408.2022.2079867
Maria Kallia and Quintin Cutts,Conceptual development in early-years computing education: a grounded cognition and action based conceptual framework,Computer Science Education,33,4,485--511,2023,Routledge,10.1080/08993408.2022.2140527
"Rina Zviel Girshin, Nathan Rosenberg and Ida Kukliansky",Early Childhood Robotics: Children’s Beliefs and Objective Capabilities to Read and Write Programs,Journal of Research in Childhood Education,38,2,317--335,2024,Routledge,10.1080/02568543.2023.2259946
"Maya Israel, Quentin M. Wherfel, Saadeddine Shehab, Evan A. Ramos, Adam Metzger and George C. Reese",Assessing collaborative computing: development of the Collaborative-Computing Observation Instrument (C-COI),Computer Science Education,26,2-3,208--233,2016,Routledge,10.1080/08993408.2016.1231784
"Samuel Severance, Emily Adah Miller and Joseph Krajcik",IF science AND making AND computing: Insights for project-based learning and primary science curriculum design,Studies in Science Education,0,0,1--65,2024,Routledge,10.1080/03057267.2024.2397300
Nathalie Sinclair and Margaret Patterson,The Dynamic Geometrisation of Computer Programming,Mathematical Thinking and Learning,20,1,54--74,2018,Routledge,10.1080/10986065.2018.1403541
Rachelle Haroldson and Dave Ballard,Alignment and representation in computer science: an analysis of picture books and graphic novels for K-8 students,Computer Science Education,31,1,4--29,2021,Routledge,10.1080/08993408.2020.1779520
Emmanouil Stiakakis and George Barboutidis,Exploring the construct of the new way of thinking in the digital environment,Behaviour \& Information Technology,41,13,2779--2795,2022,Taylor \& Francis,10.1080/0144929X.2021.1949042
"Cassie F. Quigley, Danielle Herro, Holly Plank, Aileen Owens and Oluwadara Abimbade",Transforming computer science education: exploration of computer science interest and identity of historically underrepresented youth,Computer Science Education,0,0,1--28,2023,Routledge,10.1080/08993408.2023.2292905
"Beverly B. Ray, Reenay R. H. Rogers and Martha M. Hocutt",Perceptions of non-STEM discipline teachers on coding as a teaching and learning tool: what are the possibilities?,Journal of Digital Learning in Teacher Education,36,1,19--31,2020,Routledge,10.1080/21532974.2019.1646170
"Xanthippi Tsortanidou, Thanasis Daradoumis and Elena Barberá",Toward a Holistic Pedagogical Approach in K-6 Education: Evidence From a Multiple-Case Study in Spain,Journal of Research in Childhood Education,37,1,77--99,2023,Routledge,10.1080/02568543.2022.2065390
Kelsie N. Fowler,"Designing, Sustaining, and Evaluating Environmental Justice Projects: The Critical Community Science Tool",Connected Science Learning,5,1,12318621,2023,Routledge,10.1080/24758779.2023.12318621
"Devon M. Christman, Collin Lejano, Kaylee Laub, Liliana Garcia, Matthew Bennett, David Gonzalez-Maldonado, Tianle Liu, Grace Williams, Danielle Harlow, Diana Franklin and Emily Edwards",Adventures in Quander,Connected Science Learning,5,1,12318623,2023,Routledge,10.1080/24758779.2023.12318623
Meina Zhu and Cheng Wang,"K-12 Computer Science Teaching Strategies, Challenges, and Teachers’ Professional Development Opportunities and Needs",Computers in the Schools,41,1,1--22,2024,Routledge,10.1080/07380569.2023.2178868
Elise Lockwood,Leveraging Prediction and Reflection in a Computational Setting to Enrich Undergraduate Students’ Combinatorial Thinking,Cognition and Instruction,40,3,413--455,2022,Routledge,10.1080/07370008.2021.2020793
"Eric Shook, Forrest J. Bowlick, Karen K. Kemp, Ola Ahlqvist, Patricia Carbajeles-Dale, David DiBiase, Eun-Kyeong Kim, Scott Lathrop, Britta Ricker, Patrick Rickles, Johnathan Rush, Jennifer N. Swift and Shaowen Wang",Cyber Literacy for GIScience: Toward Formalizing Geospatial Computing Education,The Professional Geographer,71,2,221--238,2019,Routledge,10.1080/00330124.2018.1518720
Markus Reitenbach,The power of the snake: number theory with Python,International Journal of Mathematical Education in Science and Technology,53,12,3484--3490,2022,Taylor \& Francis,10.1080/0020739X.2021.1998688
"Benjamin Galluzzo, Michael W. Ramsdell, Joshua D. Thomas, Kathleen Kavanagh, Corey Ryder, Darlene Bissonette and Jennifer M. Knack",Cornhole Predicts the Perfect Pitch,Science Scope,44,5,54--60,2021,Routledge,10.1080/08872376.2021.12291415
"Christian Konadu Asante, Amy Semerjian, Paul Xu, David Jackson, Yihong Cheng, Ariel Chasen, Ahmad Shah, Jessica Brett and Meghan Broadstone",An Integrated STEM and Computing Curriculum for the Human-Technology Frontier,Connected Science Learning,3,2,12318683,2021,Routledge,10.1080/24758779.2021.12318683
"Husni Mubarok, Chi-Jen Lin and Gwo-Jen Hwang",A virtual reality-based collaborative argument mapping approach in the EFL classroom,Interactive Learning Environments,0,0,1--19,2023,Routledge,10.1080/10494820.2023.2207197
"Chrystalla Mouza, Alison Marzocchi, Yi-Cheng Pan and Lori Pollock","Development, Implementation, and Outcomes of an Equitable Computer Science After-School Program: Findings From Middle-School Students",Journal of Research on Technology in Education,48,2,84--104,2016,Routledge,10.1080/15391523.2016.1146561
"Mpho Mafata, Jeanne Brand, Andrei Medvedovici and Astrid Buica",Chemometric and sensometric techniques in enological data analysis,Critical Reviews in Food Science and Nutrition,63,32,10995--11009,2023,Taylor \& Francis,10.1080/10408398.2022.2089624
"Jessica Yauney, Scott R. Bartholomew and Peter Rich",A systematic review of “Hour of Code” research,Computer Science Education,33,4,512--544,2023,Routledge,10.1080/08993408.2021.2022362
