title,journal,volume,pages,year,issn,doi,url,author,keywords,abstract
Erratum regarding missing declaration of competing interest statements in previously published articles,International Journal of Child-Computer Interaction,41,100676,2024,2212-8689,https://doi.org/10.1016/j.ijcci.2024.100676,https://www.sciencedirect.com/science/article/pii/S221286892400045X,,,
Research hotspots and development trends of model and modelling education research: Bibliometric analysis based on CiteSpace,Heliyon,10,e32590,2024,2405-8440,https://doi.org/10.1016/j.heliyon.2024.e32590,https://www.sciencedirect.com/science/article/pii/S2405844024086213,Dongxue Jin and Min Jian,"Model-based education research, Model and modelling, Bibliometric analysis, CiteSpace","Model-based learning and teaching are vital for addressing real-world challenges and are gaining research traction. This study, employing CiteSpace, analyses 583 articles, uncovering trends in authors, regions, and highly cited documents. Noteworthy focuses include learning achievements, technical support, and teaching approaches. Keyword analysis emphasises thinking cultivation and interdisciplinary integration. The study discusses current and future developments in modelling and modelling education research, particularly in learning evaluation and teacher professional development. Offering an international perspective, this analysis provides stakeholders with valuable insights. In summary, model-based learning's growth and influence are evident in the identified trends and future directions, guiding the field toward effective teaching strategies and solving complex problems. This research contributes to the broader understanding of modelling education's dynamics, facilitating informed decision-making for educators and policymakers."
Diagnostics and rubrics for assessing learning across the computational science curriculum,Journal of Computational Science,1,55-61,2010,1877-7503,https://doi.org/10.1016/j.jocs.2010.03.012,https://www.sciencedirect.com/science/article/pii/S1877750310000141,J. Russell Manson and Robert J. Olsen,"Computational science education, Computational thinking, Curriculum development, Assessment, Placement diagnostics, Force Concept Inventory (FCI), Rubrics","We describe our experiences with learning assessment in a new computational science program. We report on the development and pilot testing of assessment tools in both core and cognate courses. Specifically, we detail a diagnostic assessment that predicted success in our introductory computational science course with reasonable reliability; we give an account of our use of an existing assessment tool to investigate how introducing computational thinking in a cognate course influences learning of the traditional course material; and we discuss rubric development for project evaluation."
"OSSCAR, an open platform for collaborative development of computational tools for education in science",Computer Physics Communications,282,108546,2023,0010-4655,https://doi.org/10.1016/j.cpc.2022.108546,https://www.sciencedirect.com/science/article/pii/S001046552200265X,Dou Du and Taylor J. Baird and Sara Bonella and Giovanni Pizzi,"Jupyter, Notebooks, Computational physics, Computational chemistry, Computational materials science, Education","In this paper we present the Open Software Services for Classrooms and Research (OSSCAR) platform. OSSCAR provides an open collaborative environment to develop and access educational resources in the form of web applications, for which various deployment methods are discussed and compared. To minimize efforts in the creation and use of new educational material, OSSCAR combines software tools that have emerged as standards with custom domain-specific ones. The technical solutions adopted to create and distribute content are described and motivated on the basis of reliability, sustainability, ease of uptake and use. Examples from courses in the domains of physics, chemistry, and materials science are shown to demonstrate the style and level of interactivity of typical applications. The tools presented are easy to use, and create a uniform and open environment exploitable by a large community of teachers, students, and researchers with the goal of facilitating learning and avoiding, when possible, duplication of efforts in creating teaching material. Contributions to expand the educational content of the OSSCAR project are welcome.
Program summary
Program Title: OSSCAR Interactive Notebooks for Quantum Mechanics and Computational Materials Science CPC Library link to program files: https://doi.org/10.17632/26py5zz9f8.1 Developer's repository link: https://github.com/osscar-org/quantum-mechanics Licensing provisions: MIT Programming language: Python Nature of problem: Among others, computational courses (e.g. on quantum mechanics) can benefit from advanced interactive visualizations of the content. However, on the one hand it might be complicated for teachers to develop such interactive content; on the other hand, students need to be able to access very quickly and efficiently the content, reducing the time needed to install libraries and dependencies that might differ between courses. Solution method: Here, we developed interactive web applications to complement teaching and encourage computational thinking for courses in computational physics, chemistry and materials science, using Jupyter notebooks and their rendering as interactive web applications. The latter is powered by a combination of Voila, to hide code and convert notebooks into live web applications, and (existing or custom) Jupyter widgets to enable interactiveness. The code is ready to be deployed via a number of open approaches."
Chapter Three - Exploring the potential of eye tracking on personalized learning and real-time feedback in modern education,,282,49-70,2023,0079-6123,https://doi.org/10.1016/bs.pbr.2023.09.001,https://www.sciencedirect.com/science/article/pii/S0079612323000936,Raimundo {da Silva Soares} and Amanda Yumi Ambriola Oku and Cândida da Silva Ferreira Barreto and João Ricardo Sato,"Mathematics education, Eye tracking, Teaching practice, Student gaze","Eye tracking is one of the techniques used to investigate cognitive mechanisms involved in the school context, such as joint attention and visual perception. Eye tracker has portability, straightforward application, cost-effectiveness, and infant-friendly neuroimaging measures of cognitive processes such as attention, engagement, and learning. Furthermore, the ongoing software enhancements coupled with the implementation of artificial intelligence algorithms have improved the precision of collecting eye movement data and simplified the calibration process. These characteristics make it plausible to consider eye-tracking technology a promising tool to assist the teaching-learning process in school routines. However, eye tracking needs to be explored more as an educational instrument for real-time classroom activities and teachers' feedback. This perspective article briefly presents the fundamentals of the eye-tracking technique and four illustrative examples of employing this method in everyday school life. The first application shows how eye tracker information may contribute to teacher assessment of students' computational thinking in coding classes. In the second and third illustrations, we discuss the additional information provided by the eye-tracker to the teacher assessing the student's strategies to solve fraction problems and chart interpretation. The last illustration demonstrates the potential of eye tracking to provide Real-time feedback on learning difficulties/disabilities. Thus, we highlight the potential of the eye tracker as a complementary tool to promote personalized education and discuss future perspectives. In conclusion, we suggest that an eye-tracking system could be helpful by providing real-time student gaze leading to immediate teacher interventions and metacognition strategies."
"The impact of school support for professional development on teachers' adoption of student-centered pedagogy, students’ cognitive learning and abilities: A three-level analysis",Computers & Education,215,105016,2024,0360-1315,https://doi.org/10.1016/j.compedu.2024.105016,https://www.sciencedirect.com/science/article/pii/S0360131524000307,Siu-Cheung Kong and Yi-Qing Wang,"Cognitive learning, Computational thinking, Multilevel analysis, Student-centered pedagogy, Teacher professional development","Student-centered pedagogy (SCP) is highly considered for its potential to facilitate cognitive learning in Computational Thinking (CT) education. However, there is a noticeable gap in understanding its influence on students' cognitive development from a multilevel perspective. This study delves into cognitive learning theories and aims to bridge the existing gap by introducing a three-level conceptual model to illustrate how the influence of SCP on students' cognitive CT abilities is mediated through the cognitive learning processes. This multilevel approach simultaneously explores SCP within the intricate school environment where factors at the school, teacher, and student levels are closely intertwined. Data was collected from 82 programming teachers and their 2433 students across 43 Hong Kong primary schools. Using multilevel modeling, results indicate that the adoption of SCP is significantly anchored by school support on teacher professional development (TPD), which in turn enhances students’ cognitive learning (i.e., active, interactive, constructive, and reflective learning) in class, further contributing to their enhanced cognitive CT abilities. The findings underscore the nuances of SCP adoption in school scenarios, advocating for strategic approaches to maximize student achievements in CT education. Recommendations for future research are discussed."
Erratum regarding missing Declaration of Competing Interest statements in previously published articles,International Journal of Child-Computer Interaction,41,100677,2024,2212-8689,https://doi.org/10.1016/j.ijcci.2024.100677,https://www.sciencedirect.com/science/article/pii/S2212868924000461,,,
Introductory computational science using MATLAB and image processing,Procedia Computer Science,1,913-919,2010,1877-0509,https://doi.org/10.1016/j.procs.2010.04.100,https://www.sciencedirect.com/science/article/pii/S1877050910001018,D. Brian Larkins and William Harvey,,"We describe a new course designed to introduce engineering students to computational thinking. One of the most significant challenges in teaching an introductory-level applied computing course is that students are not expected to have substantial math and science experience. To address this, we have developed exercises which use edge detection and basic image processing to motivate the use of programming MATLAB in a non-trivial scientific application. MATLAB is a popular high-level programming language and environment which supports a wide range of computational science applications. MATLAB has strong support for operating on image data, which allows us to balance solving practical engineering problems with basic core concepts of computer science such as functional abstraction, conditional execution, and iteration."
Teacher skills and knowledge for technology integration,,,263-271,2023,,https://doi.org/10.1016/B978-0-12-818630-5.04037-9,https://www.sciencedirect.com/science/article/pii/B9780128186305040379,Leming Liang and Nancy Law,"Technology-enhanced learning, Teacher skills, Teacher knowledge, TPACK, Teacher learning, AR/VR, AI, Ethics, Pedagogical innovation, Teacher leadership","With the pervasive use of digital technology in all aspects of our lives, and the rapid advances and deployment of new technologies in education, the use and teaching of technology in education is a necessary professional repertoire for teachers to ensure students' well-being. Influential education policy frameworks posit that teachers need competence in the integration of technology for agile delivery of teaching in blended/fully online modes and for fostering students' digital literacy. Future-oriented professional development programs need to go beyond individual learning and engage leadership in creating the necessary conditions for technology-enhanced learning innovations at institutional and system levels."
Propuesta de intervención mediante un robot de suelo con mandos de direccionalidad programada: análisis observacional del desarrollo del pensamiento computacional en educación infantil,Revista de Psicodidáctica,26,143-151,2021,1136-1034,https://doi.org/10.1016/j.psicod.2021.03.001,https://www.sciencedirect.com/science/article/pii/S1136103421000356,Marta Terroba and Juan Miguel Ribera and Daniel Lapresa and M. {Teresa Anguera},"Pensamiento computacional, Robótica, Educación Infantil, Metodología observacional, T-patterns, Computation, Robotics, Pre-primary school, Observational methodology, T-patterns","Resumen
El presente artículo presenta una propuesta de intervención para el desarrollo del pensamiento computacional en educación infantil, mediante un robot de suelo con mandos de direccionalidad programada. En el seno de la metodología observacional, se ha diseñado un sistema de observación que permite el análisis e interpretación de la conducta desplegada en el desempeño de la propuesta de intervención. La fiabilidad del sistema de observación se ha garantizado en forma de concordancia interobservadores, calculada a través del coeficiente Kappa de Cohen (1960). En el seno de la teoría de la generalizabilidad, el plan de medida [Categorías] [Steps]/ [Participantes] ha permitido constatar una elevada fiabilidad de precisión de generalización de los resultados. La operatividad del sistema de observación ha quedado reflejada en las estructuras regulares de conducta (T-patterns) detectadas -mediante el software THEME-, que han permitido caracterizar dificultades en la asimilación de un lenguaje computacional incipiente relacionadas con la capacidad de orientación espacial y la capacidad de secuenciación del niño -situaciones que implican giro y número de comandos empleados en la secuencia-.
The present work presents an intervention proposal for the development of computational thinking in early childhood education, through the use of a ground robot with programmed directional controls. Within the use of observational methodology, an observation system has been designed that allows the analysis and interpretation of the behavior displayed in the performance of the intervention proposal. The reliability of the observation system has been guaranteed in the form of inter-observer agreement, calculated using Cohen's (1960) Kappa coefficient. Within the theory of generalizability, the measurement plan [Categories] [Steps] / [Participants] has allowed to verify a high precision reliability of the generalization of the results. The operability of the observation system has been reflected in the regular behavior structures (T-patterns) detected -through the THEME software-, which have allowed characterizing difficulties in the assimilation of an incipient computational language related to the ability of spatial orientation and the sequencing capacity of children -situations involving turning and number of commands used in the sequence-."
