author,title,journal,volume,number,pages,year,publisher,doi
Ana Oliveira and David Oliveira,Perceptions of future basic education teachers about the potential of programming in the educational context,Educational Media International,60,3-4,183--195,2023,Routledge,10.1080/09523987.2023.2324598
Yasmin B. Kafai and Quinn Burke,Constructionist Gaming: Understanding the Benefits of Making Games for Learning,Educational Psychologist,50,4,313--334,2015,Routledge,10.1080/00461520.2015.1124022
"Dyana Maftuhatu Rosyidah, Muyassaroh Mannan and Aryadi Manuel Gultom",Transforming entrepreneurship education: Interdisciplinary insights on innovative methods and formats,Journal of Education for Business,99,5,352--354,2024,Routledge,10.1080/08832323.2024.2336621
Neil D. Grimes and William Porter,Closing the Digital Divide Through Digital Equity: The Role of Libraries and Librarians,Public Library Quarterly,43,3,307--338,2024,Routledge,10.1080/01616846.2023.2251348
Nandita Gurjar,The Italian Makerspace,Childhood Education,97,3,48--53,2021,Routledge,10.1080/00094056.2021.1930924
Ting Yuan and Aankit Patel,"“If Young Children Can Code, Why Can’t We Try?”: Computational Storytelling in Early Childhood Teacher Education",Childhood Education,98,6,56--61,2022,Routledge,10.1080/00094056.2022.2144612
Christine Anne Royce,Teaching Through Trade Books: Starting with Science,Science and Children,60,1,14--18,2022,Routledge,10.1080/19434812.2022.12291814
Tara Fagan,Weaving Learning and Digital Technologies at New Zealand Museums,Childhood Education,99,1,24--31,2023,Routledge,10.1080/00094056.2023.2169546
Lin Xiang and Scott Diamond,Developing and Using Computer Models to Understand Epidemics,The Science Teacher,89,3,70--78,2022,Routledge,10.1080/00368555.2022.12293672
"Nicole Tuttle, Joan N. Kaderavek, Scott Molitor, Charlene M. Czerniak, Eugenia Johnson-Whitt, Debra Bloomquist, Winnifred Namatovu and Grant Wilson",Investigating the Impact of NGSS-Aligned Professional Development on PreK-3 Teachers’ Science Content Knowledge and Pedagogy,Journal of Science Teacher Education,27,7,717--745,2016,Routledge,10.1007/s10972-016-9484-1
Renzhong Peng and Qiqin Hu,Expanding global horizons through technology enhanced language learning,Irish Educational Studies,43,3,603--606,2024,Routledge,10.1080/03323315.2022.2104908
"Mark Baillie, Conor Moloney, Carsten Philipp Mueller, Jonas Dorn, Janice Branson and David Ohlssen",Good Data Science Practice: Moving Toward a Code of Practice for Drug Development,Statistics in Biopharmaceutical Research,15,1,74--85,2023,ASA Website,10.1080/19466315.2022.2063172
"Kevin Larkin, Christina Lommatsch, Ilyse Resnick and Thomas Lowrie",The design and use of a digital tool to support the development of preschool children’s logical reasoning,Journal of Research on Technology in Education,55,6,1080--1093,2023,Routledge,10.1080/15391523.2022.2107590
"Florent Domenach, Naoko Araki and Mary Frances Agnello",Disrupting discipline based learning: integrating English and programming education,Critical Inquiry in Language Studies,18,1,26--40,2021,Routledge,10.1080/15427587.2020.1807986
Mehmet Toran,From the uncertain times to today: unveiling the early childhood education research with keywords,European Early Childhood Education Research Journal,30,3,325--329,2022,Routledge,10.1080/1350293X.2022.2060943
Jussi Mikkonen,Bodygramming. Embodying the computational behaviour as a collective effort,The Design Journal,22,sup1,1423--1437,2019,Routledge,10.1080/14606925.2019.1594967
Katie A. McCarthy and Gregory A. Kuhlemeyer,Preparing Analytics-Enabled Professionals in Finance Using a Simultaneous Team-Teaching Approach: A Case Study,Journal of Statistics and Data Science Education,32,1,98--107,2024,Taylor \& Francis,10.1080/26939169.2023.2197470
"Attila Krajcsi, Csaba Csapodi and Eleonóra Stettner",Algotaurus: an educational computer programming game for beginners,Interactive Learning Environments,29,4,634--647,2021,Routledge,10.1080/10494820.2019.1593862
Pat Hanrahan,Comment,Technometrics,50,4,440--441,2008,ASA Website,10.1198/004017008000000497
,Correction,Science Activities,0,0,1--1,2024,Routledge,10.1080/00368121.2024.2387382
"Lihui Sun, Zhen Guo and Danhua Zhou",Measuring development of young students’ coding ability through a graphical teaching intervention: further explanation of the effect of coding experience and coding interest,Interactive Learning Environments,32,7,3732--3755,2024,Routledge,10.1080/10494820.2023.2190356
Nicholas Leonard and Johnson Kwame Wor,Addressing Algorithm Materiality and Bias Through Art: Exploring Social Media–Augmented Reality Features,Art Education,77,4,20--26,2024,Routledge,10.1080/00043125.2024.2330342
"Michael Solem, Coline Dony, Thomas Herman, Kelly León, Amr Magdy, Atsushi Nara, Waverly Ray, Sergio Rey and Rachel Russell",Building Educational Capacity for Inclusive Geocomputation: A Research-Practice Partnership in Southern California,Journal of Geography,120,4,152--159,2021,Routledge,10.1080/00221341.2021.1933140
Mireilla Bikanga Ada and Mary Ellen Foster,Enhancing postgraduate students’ technical skills: perceptions of modified team-based learning in a six-week multi-subject Bootcamp-style CS course,Computer Science Education,33,2,186--210,2023,Routledge,10.1080/08993408.2021.1959174
