"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bringing Computational Thinking Skills Into Physics Classroom Through Project-Based Learning","R. D. Handayani; A. D. Lesmono; S. B. Prastowo; B. Supriadi; N. M. Dewi","Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia",2022 8th International Conference on Education and Technology (ICET),"23 Dec 2022","2022","","","76","80","Computational thinking is a fundamental thinking skill for students in the 21st-century learning era. This study aims to integrate computational thinking skills in physics through project-based learning. Data were gathered through observation, interviews, and portfolio documents. The results indicated three main categories of computational thinking: decomposition, abstraction, and simulation. The implementation of project-based learning can develop students’ computational thinking skills. Students are trained to solve physics problems analytically and precisely in structured and logical thinking through a project. This research is expected to be the information for physics teachers to integrate computational thinking in the classroom as a 21st-century learning skill.","2770-4807","978-1-6654-9214-0","10.1109/ICET56879.2022.9990631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990631","computational thinking;physics classroom;project-based learning","Computational modeling;Education;Problem-solving;Interviews;Physics;Portfolios","","3","","34","IEEE","23 Dec 2022","","","IEEE","IEEE Conferences"
"A Study of Micro:bit Teaching Design Based on the Development of Computational Thinking of Secondary School Students","J. Liu; X. Xia; Y. Bai; P. Liu","Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Nanjingshi Yuanshengxiang elementary school, Nanjing, China",2022 4th International Conference on Computer Science and Technologies in Education (CSTE),"15 Dec 2022","2022","","","198","201","With the rapid development of human society and technology, it's necessary for contemporary students to have the ability to quickly adapt to social development. Meanwhile, traditional educational concepts have to be transformed in time, and a full understanding of computational thinking plays an important role in promoting students' life-long development. Based on in-depth analysis and research on computational thinking theory, this paper integrates micro: bit into teaching from the perspective of practical application. After analyzing the teaching objectives, teaching contents, and teaching process, this paper proposes an instructional design for the development of computational thinking for secondary school students.","","978-1-6654-8188-5","10.1109/CSTE55932.2022.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973092","computational thinking;micro:bit;instructional design","Visualization;Technological innovation;Knowledge acquisition;Education;Focusing;Market research;Computational efficiency","","1","","24","IEEE","15 Dec 2022","","","IEEE","IEEE Conferences"
"Influence of Programming Robot Learning Mode Based on Conceptual Mapping on College Students' Computational Thinking","B. -H. Chen; L. -H. Chen; C. -C. Chen; C. -H. Chen","Department of Information Management, Chaoyang University of Technology, Taiwan; Department of Information Management, Chaoyang University of Technology, Taiwan; Department of Automatic, Control Engineering Feng Chia University, Taiwan; Master Program of Professional Teacher, National Taichung University of Education, Taiwan","2021 IEEE 3rd Eurasia Conference on IOT, Communication and Engineering (ECICE)","23 Dec 2021","2021","","","617","620","As the information age has progressed, computational thinking ability to solve problems has become an indispensable way of life in life. Many scholars believe that the process of solving problems will be more logical if they have computational thinking ability. At the same time, scholars believe that a good learning method improves learners' intrinsic motivation. Therefore, in this research, we try to use conceptual mapping so that students can construct knowledge when composing their own images, as the focus of this learning model and computational thinking is the thinking process and the two coincide. This research intends to introduce the traditional programming robot course into conceptual mapping and measure whether there are differences in computational thinking tendencies, problem-solving tendencies, and intrinsic motivations between students who use conceptual mapping and those who do not use it. The students in the experimental group with conceptual mapping activities developed computational thinking skills during the program robotics course. The students in the control group first watched the computational thinking explanation video to explain the computational thinking skills to the students, and then taught in the traditional programming robotics course.","","978-1-6654-4516-0","10.1109/ECICE52819.2021.9645630","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9645630","Concept mapping;computational thinking;programmed robot 10 pts;intrinsic motivation","Learning systems;Conferences;Computational modeling;Programming;Information age;Robot learning;Problem-solving","","","","25","IEEE","23 Dec 2021","","","IEEE","IEEE Conferences"
"A practical research on the training of middle school students' computational thinking based on problem solving in systematic information process view","M. Zhao; W. Hu","College of Education Science, Bohai University, Jinzhou, China; College of Education Science, Bohai University, Jinzhou, China","2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)","1 Feb 2023","2022","","","1037","1040","Computational thinking is the process sequence of solving problems and behaves a method of systematic solving problems. Computational thinking is essentially a view of systematic information processing process. In essence, developing the computational thinking of middle school students is to improve their problem-solving ability and the corresponding practical accomplishment. The instructional activity design based on six links of problem solving can well meet the need of cultivating students’ computational thinking. The instructional mode of systematic problem solving in middle school can improve students’ learning effects and satisfaction, and promote students’ computational thinking ability significantly. The method of systematic information processing process can be trained.","","978-1-6654-1666-5","10.1109/ICEKIM55072.2022.00225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027412","component;Computation;Computational thinking;Middle school information technology class","Training;Analytical models;Systematics;Computational modeling;Information processing;Information management;Problem-solving","","","","16","IEEE","1 Feb 2023","","","IEEE","IEEE Conferences"
"A Guide Towards a Definition of Computational Thinking in K-12","R. Ismail; T. A. Steinbach; C. S. Miller","College of Computing and Digital Media (CDM), DePaul University, Chicago, USA; College of Computing and Digital Media (CDM), DePaul University, Chicago, USA; College of Computing and Digital Media (CDM), DePaul University, Chicago, USA",2022 IEEE Global Engineering Education Conference (EDUCON),"11 May 2022","2022","","","801","810","Computational thinking (CT) has been described as a set of valuable skills for tackling complex problems. To foster CT among K-12 students, different initiatives have been introduced by governmental and non-governmental entities, and numerous studies have been carried out by researchers to define and integrate CT into school curriculum. However, previous studies has shown little agreement among researchers, governmental and non-governmental sectors about a unified CT definition. These dissensions have introduced challenges in formulating a definition for CT at the K-12 level. The absence of a unified definition may increase the challenges for teachers to teach and integrate CT into school curriculum. To foster CT among K-12 students, we introduce a definition and framework for CT. We evaluated 39 articles and extracted the most common elements used in the literature to frame CT definition and describe its elements. Several studies have discussed, as well as investigated, the significance of conceptualizing and comprehending the interaction and dependency relationships among computational objects. However, our literature review discovered that little attention has been dedicated to the concept of dependency in the CT body of knowledge. Based on the literature review, we define CT as the thought process used for solving problems, and it encompasses the elements of problem decomposition, abstraction, and algorithmic thinking. We conjecture the CT definition is missing the element of dependency. In the context of CT, we define dependency as the knowledge of comprehending the interrelationships between different sections of a decomposed problem.","2165-9567","978-1-6654-4434-7","10.1109/EDUCON52537.2022.9766703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766703","Computational Thinking (CT);K-12 Education;Dependency;Abstraction;Decomposition;Algorithmic Thinking","Computer science;Bibliographies;Conferences;Computational modeling;Engineering education","","","","69","IEEE","11 May 2022","","","IEEE","IEEE Conferences"
"The effects of constructing robot-based storytelling system on college students' computational thinking skill and technology comprehension","C. -C. Hu; M. -H. Chen; I. Yuadi; N. -S. Chen","Department of Information Management, Tatung University No.40, Sec. 3, Zhongshan N. Rd., Taipei City, Taiwan; Department of Information Management, Tatung University No.40, Sec. 3, Zhongshan N. Rd., Taipei City, Taiwan; Department of Information and Library Science, Airlangga University Jl. Airlangga 4-6, Surabaya, Indonesia; Institute for Research Excellence in Learning Sciences and Program of Learning Sciences, National Taiwan Normal University 162, Section 1, Heping E. Rd., Taipei City, Taiwan",2022 24th International Conference on Advanced Communication Technology (ICACT),"11 Mar 2022","2022","","","496","500","Recent college students have been observed to be motivated and engaged in acquiring information and communication technology (ICT) knowledge and skills with robots and digital media. The purpose of this study is to develop students’ technology comprehension through a learning activity by constructing robot-based storytelling systems. A sample of 15 college students participated in the program. Data collected include the pre-and post-computational thinking tests (CTt) and computational thinking skill (CTs) tests for evaluating their learning effects of technology comprehension (TC) in terms of computational thinking knowledge and skills and their perceptions toward the robot-based storytelling development environment and learning activities. The results show that the learning activities were an effective approach for enhancing the students’ TC as shown in the post-test. The differences between the students’ CT and perceptions were also confirmed. The results revealed that the learning activities with the robot-based storytelling development environment could improve the students’ TC knowledge and skills, and learning perceptions.","1738-9445","979-11-88428-08-3","10.23919/ICACT53585.2022.9728803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9728803","Technology comprehension;Computational thinking;Robot-based storytelling;Information and communication technology","Education;Media;Information and communication technology;Robots;Creativity","","4","","14","","11 Mar 2022","","","IEEE","IEEE Conferences"
"Research on group-based learning teaching mode to computational thinking ability development based on Blackboard system","Y. Wang; S. Li","School of Information Engineering, Nanjing Xiaozhuang University, Nanjing, China; School of Information Engineering, Nanjing Xiaozhuang University, Nanjing, China","2021 International Conference on Education, Information Management and Service Science (EIMSS)","19 Nov 2021","2021","","","58","61","Under the background of modern computer science education, the development of students' computational thinking ability and programming problem solving skills is the most important work. This paper researches on group-based learning teaching mode to computational thinking ability development based on Blackboard system, which explores a suitable learning way in terms of learner cognitive engagement and constructivist perspective using Blackboard system, and emphasizes the student's subject position in learning and the teacher's dominant position in teaching. It can also enhance the interaction between the teacher and the student, a positive teacher-student relationship facilitates affective learning, thus developing the educational process and making it more comfortable. This paper discusses the development of computational thinking ability and Blackboard system, and the current situation of the computer teaching. Then put forward the key elements of course content selection in computer science education, and designed a group-based learning teaching mode to computational thinking ability development based on Blackboard system.","","978-1-6654-2707-4","10.1109/EIMSS53851.2021.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603471","computational thinking;group-based learning teaching mode;computer science education","Computational modeling;Education;Collaboration;Computer science education;Information management;Problem-solving;Programming profession","","1","","9","IEEE","19 Nov 2021","","","IEEE","IEEE Conferences"
"Research and Application of Computational Thinking on Python Teaching","X. Wang; X. Zou; W. Yin; Q. Li; L. Zhang; L. Hong","School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China",2021 IEEE 3rd International Conference on Computer Science and Educational Informatization (CSEI),"19 Jul 2021","2021","","","311","314","With the development of science and technology, the interdisciplinary knowledge penetration has become an important trend in the development of science and technology. Computational thinking is expanding from the field of computer science to other disciplines. The computational thinking is the focus of the information technology in science and engineering. Python teaching is widely used in programming courses in colleges and universities. The combination of theory and practice can stimulate students' initiative of independent innovation by teaching practice. It can effectively improve the effect and quality of computer thinking training.","","978-1-7281-8473-9","10.1109/CSEI51395.2021.9477758","Ministry of Education; Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477758","computational thinking;case teaching;python programming","Training;Technological innovation;Systematics;Electronic learning;Education;Market research;Online services","","","","6","IEEE","19 Jul 2021","","","IEEE","IEEE Conferences"
"Teaching research on the cultivation of computational thinking ability by using information technology","C. Xiaohong; L. Jie; M. Zhibin; X. Li","College of Computer Science and Technology, Harbin Engineering University, Harbin, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China; College of Mechanical and Marine Engineering, Beibu Gulf University, Qinzhou, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China",2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),"15 Sep 2021","2021","","","564","567","Computational thinking ability is a very important, and it is a basic necessary skill for future talents. This paper describes the shortcomings of the current education of cultivating students’ computational thinking ability, analyzes the needs of cultivating students’ innovative ways of computational thinking in the information age, and expounds the necessity of innovative education and teaching. In this paper, the project driven teaching mode and the teaching method of computational thinking cultivation are proposed. The Small Private Online Course (SPOC) teaching method is used in the teaching practice, which is a kind of information technology method. Combined with project driven and SPOC teaching methods, the students' computational thinking ability is further cultivated. In the teaching practice, the information technology and project driven learning are made full use, which are two key factors in the information age, so the students’ computational thinking ability has been greatly improved, and the teaching effect is obvious.","","978-1-6654-2492-9","10.1109/ICAIE53562.2021.00125","Ministry of Education; Ministry of Education; Harbin Engineering University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534576","information technology;computational thinking;Innovation education;Project driven;Teaching practice","Training;Technological innovation;Education;Employment;Information age;Artificial intelligence","","1","","8","IEEE","15 Sep 2021","","","IEEE","IEEE Conferences"
"The impact of different types of scaffolding in project-based learning on girls' computational thinking skills and self-efficacy","Y. Jin; J. Sun; H. Ma; X. Wang","School of education, Shaanxi Normal University, Xi'an, Shaanxi, China; School of education, Shaanxi Normal University, Xi'an, Shaanxi, China; School of education, Shaanxi Normal University, Xi'an, Shaanxi, China; School of education, Shaanxi Normal University, Xi'an, Shaanxi, China",2021 Tenth International Conference of Educational Innovation through Technology (EITT),"2 Feb 2022","2021","","","362","366","Gender differences in computational thinking (CT) among students are obvious, with boys ‘CT being significantly higher than girls’. Therefore, how to effectively improve girls' CT has become a serious concern. This study integrated two types of project-based learning (PBL) into a Scratch programming course, one with extensive teacher-supported scaffolding and the other with limited teacher-supported scaffolding. To examine their impact on girls' CT skills and self-efficacy, this study applied mixed research methods, conducted a pretest-posttest control group experiment, and analyzed the quantitative and qualitative data collected from 21 grade-3 girls in a primary school. It was found that the extensive teacher-supported scaffolding of PBL in a Scratch programming course is more effective in promoting the CT skills and self-efficacy than limited teacher-supported scaffolding of PBL. These findings have some implications for the effective PBL practice and related teacher professional development.","2166-0549","978-1-6654-2757-9","10.1109/EITT53287.2021.00077","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9694003","computational thinking;project-based learning;scaffolding;girls","Technological innovation;Programming profession","","2","","32","IEEE","2 Feb 2022","","","IEEE","IEEE Conferences"
