author,title,journal,volume,number,pages,year,publisher,doi
"Katrina Falkner, Rebecca Vivian and Sally-Ann Williams",An ecosystem approach to teacher professional development within computer science,Computer Science Education,28,4,303--344,2018,Routledge,10.1080/08993408.2018.1522858
Martin Mulder,A Five-Component Future Competence (5CFC) Model,The Journal of Agricultural Education and Extension,23,2,99--102,2017,Routledge,10.1080/1389224X.2017.1296533
Janis Jefferies,Introduction: Back to the Future,TEXTILE,16,1,2--7,2018,Routledge,10.1080/14759756.2017.1348779
Pan Suk Kim,New development: Competency assessment system and practice in government—the South Korean experience,Public Money \& Management,40,8,611--614,2020,Routledge,10.1080/09540962.2020.1802891
Ye Sul Park,Creative and Critical Entanglements With AI in Art Education,Studies in Art Education,64,4,406--425,2023,Routledge,10.1080/00393541.2023.2255084
"Jun Liu, Qingyue Li, Xue Sun, Ziqi Zhu and Yanhua Xu",Factors influencing programming self-efficacy: an empirical study in the context of Mainland China,Asia Pacific Journal of Education,43,3,835--849,2023,Routledge,10.1080/02188791.2021.1985430
Ding-Chau Wang and Yong-Ming Huang,Self-efficacy is stronger than social support in predicting technology-enhanced hands-on learning,Interactive Learning Environments,32,5,1697--1709,2024,Routledge,10.1080/10494820.2022.2127776
"Ishteyaaq Ahmad, Sonal Sharma, Rajesh Singh, Anita Gehlot, Lovi Raj Gupta, Amit Kumar Thakur, Neeraj Priyadarshi and Bhekisipho Twala",Inclusive learning using industry 4.0 technologies: addressing student diversity in modern education,Cogent Education,11,1,2330235,2024,Cogent OA,10.1080/2331186X.2024.2330235
"Jiahong Su, Iris Heung Yue Yim, Rupert Wegerif and Samuel Kai Wah Chu",STEAM in early childhood education: a scoping review,Research in Science \& Technological Education,0,0,1--17,2024,Routledge,10.1080/02635143.2023.2296445
Professor Sam Robertson,Man \& machine: Adaptive tools for the contemporary performance analyst,Journal of Sports Sciences,38,18,2118--2126,2020,Routledge,10.1080/02640414.2020.1774143
"Cassandra Scharber, Lana Peterson, Yu-Hui Chang, Sarah Barksdale and Ramya Sivaraj",Critical computing literacy: Possibilities in K-12 computer science education,Pedagogies: An International Journal,16,2,136--151,2021,Routledge,10.1080/1554480X.2021.1914055
