author,title,journal,volume,number,pages,year,publisher,doi
"Glen Bull, Joe Garofalo and N. Rich Hguyen",Thinking about computational thinking,Journal of Digital Learning in Teacher Education,36,1,6--18,2020,Routledge,10.1080/21532974.2019.1694381
"David Weintrop, Shandra Morehouse and Mega Subramaniam",Assessing computational thinking in libraries,Computer Science Education,31,2,290--311,2021,Routledge,10.1080/08993408.2021.1874229
"Meghan McGlinn Manfra, Thomas C. Hammond and Robert M. Coven",Assessing computational thinking in the social studies,Theory \& Research in Social Education,50,2,255--296,2022,Routledge,10.1080/00933104.2021.2003276
"Frederick J. Poole, Jody Clarke-Midura, Melissa Rasmussen, Umar Shehzad and Victor R. Lee",Tabletop games designed to promote computational thinking,Computer Science Education,32,4,449--475,2022,Routledge,10.1080/08993408.2021.1947642
Ismail Güven and Yasemin Gulbahar,Integrating Computational Thinking into Social Studies,The Social Studies,111,5,234--248,2020,Routledge,10.1080/00377996.2020.1749017
"Peter J. Rich, Ross A. Larsen and Stacie L. Mason",Measuring teacher beliefs about coding and computational thinking,Journal of Research on Technology in Education,53,3,296--316,2021,Routledge,10.1080/15391523.2020.1771232
"José Antonio Rodríguez-Martínez, José Antonio González-Calero and José Manuel Sáez-López",Computational thinking and mathematics using Scratch: an experiment with sixth-grade students,Interactive Learning Environments,28,3,316--327,2020,Routledge,10.1080/10494820.2019.1612448
"Aino Ukkonen, Katarina Pajchel and Louise Mifsud",Teachers’ understanding of assessing computational thinking,Computer Science Education,0,0,1--26,2024,Routledge,10.1080/08993408.2024.2365566
"Hayat Alajlan, Reem Alebaikan and Ahmad Almassaad",Computational thinking in K–12 computer education: appropriate pedagogy,"Technology, Pedagogy and Education",32,3,337--349,2023,Routledge,10.1080/1475939X.2023.2184857
"Merijke Coenraad, Alessandra Rangel and Kyle Dunbar",Utilizing a computational thinking engagement inventory to support inclusive computational thinking pathways,Journal of Research on Technology in Education,0,0,1--17,2024,Routledge,10.1080/15391523.2024.2398520
"Arnon Hershkovitz, Raquel Sitman, Rotem Israel-Fishelson, Andoni Eguíluz, Pablo Garaizar and Mariluz Guenaga",Creativity in the acquisition of computational thinking,Interactive Learning Environments,27,5-6,628--644,2019,Routledge,10.1080/10494820.2019.1610451
"Ugur Kale, Mete Akcaoglu, Theresa Cullen and Debbie Goh",Contextual Factors Influencing Access to Teaching Computational Thinking,Computers in the Schools,35,2,69--87,2018,Routledge,10.1080/07380569.2018.1462630
Michael Vallance and Phillip A. Towndrow,"Pedagogic transformation, student-directed design and computational thinking",Pedagogies: An International Journal,11,3,218--234,2016,Routledge,10.1080/1554480X.2016.1182437
"Shari J. Metcalf, Joseph M. Reilly, Soobin Jeon, Annie Wang, Allyson Pyers, Karen Brennan and Chris Dede",Assessing computational thinking through the lenses of functionality and computational fluency,Computer Science Education,31,2,199--223,2021,Routledge,10.1080/08993408.2020.1866932
"Anna Åkerfeldt, Susanne Kjällander and Petra Petersen",A research review of computational thinking and programming in education,"Technology, Pedagogy and Education",33,3,375--390,2024,Routledge,10.1080/1475939X.2024.2316087
"Michelle Hoda Wilkerson, Cynthia M. D’Angelo and Breanne K. Litts",Stories from the field: locating and cultivating computational thinking in spaces of learning,Interactive Learning Environments,28,3,264--271,2020,Routledge,10.1080/10494820.2020.1711326
Ayodele Abosede Ogegbo and Umesh Ramnarain,A systematic review of computational thinking in science classrooms,Studies in Science Education,58,2,203--230,2022,Routledge,10.1080/03057267.2021.1963580
Ünal Çakıroğlu and Servet Kiliç,Assessing teachers’ PCK to teach computational thinking via robotic programming,Interactive Learning Environments,31,2,818--835,2023,Routledge,10.1080/10494820.2020.1811734
"Noawanit Songkram, Supattraporn Upapong, Heng-Yu Ku, Narongpon Aulpaijidkul, Sarun Chattunyakit and Nutthakorn Songkram",Unlocking the power of robots: enhancing computational thinking through innovative teaching methods,Interactive Learning Environments,0,0,1--18,2024,Routledge,10.1080/10494820.2024.2328277
"Leigh Ann Mesiti, Alana Parkes, Sunewan C. Paneto and Clara Cahill",Building Capacity for Computational Thinking in Youth through Informal Education,Journal of Museum Education,44,1,108--121,2019,Routledge,10.1080/10598650.2018.1558656
"Jia-Hua Zhang, Bin Meng, Liu-Cong Zou, Yue Zhu and Gwo-Jen Hwang",Progressive flowchart development scaffolding to improve university students’ computational thinking and programming self-efficacy,Interactive Learning Environments,31,6,3792--3809,2023,Routledge,10.1080/10494820.2021.1943687
"Sabrina Finke, Ferenc Kemény, Markus Sommer, Vesna Krnjic, Martin Arendasy, Wolfgang Slany and Karin Landerl",Unravelling the numerical and spatial underpinnings of computational thinking: a pre-registered replication study,Computer Science Education,32,3,313--334,2022,Routledge,10.1080/08993408.2022.2079864
Abdulaziz A. Alfayez and Judy Lambert,Exploring Saudi Computer Science Teachers’ Conceptual Mastery Level of Computational Thinking Skills,Computers in the Schools,36,3,143--166,2019,Routledge,10.1080/07380569.2019.1639593
Vance Kite and Soonhye Park,What’s Computational Thinking?: Secondary Science Teachers’ Conceptualizations of Computational Thinking (CT) and Perceived Barriers to CT Integration,Journal of Science Teacher Education,34,4,391--414,2023,Routledge,10.1080/1046560X.2022.2110068
Ken-Zen Chen and Hsiao-Han Chi,Novice young board-game players’ experience about computational thinking,Interactive Learning Environments,30,8,1375--1387,2022,Routledge,10.1080/10494820.2020.1722712
"Shenghua Zha, Yi Jin, Pamela Moore and Joe Gaston",A cross-institutional investigation of a flipped module on preservice teachers’ interest in teaching computational thinking,Journal of Digital Learning in Teacher Education,36,1,32--45,2020,Routledge,10.1080/21532974.2019.1693941
"Nichole Pinkard, C. K. Martin and S. Erete",Equitable approaches: opportunities for computational thinking with emphasis on creative production and connections to community,Interactive Learning Environments,28,3,347--361,2020,Routledge,10.1080/10494820.2019.1636070
Joey Huang and Miranda C. Parker,Developing computational thinking collaboratively: the nexus of computational practices within small groups,Computer Science Education,33,3,342--374,2023,Routledge,10.1080/08993408.2022.2039488
"José Miguel Merino-Armero, José Antonio González-Calero and Ramón Cózar-Gutiérrez",Computational thinking in K-12 education. An insight through meta-analysis,Journal of Research on Technology in Education,54,3,410--437,2022,Routledge,10.1080/15391523.2020.1870250
"Kathryn M. Rich, Elizabet Spaepen, Carla Strickland and Cheryl Moran",Synergies and differences in mathematical and computational thinking: implications for integrated instruction,Interactive Learning Environments,28,3,272--283,2020,Routledge,10.1080/10494820.2019.1612445
Rotem Israel-Fishelson and Arnon Hershkovitz,Cultivating creativity improves middle school students’ computational thinking skills,Interactive Learning Environments,32,2,431--446,2024,Routledge,10.1080/10494820.2022.2088562
"Maria Kallia, Sylvia Patricia van Borkulo, Paul Drijvers, Erik Barendsen and Jos Tolboom",Characterising computational thinking in mathematics education: a literature-informed Delphi study,Research in Mathematics Education,23,2,159--187,2021,Routledge,10.1080/14794802.2020.1852104
"Osman Kayhan, Özgen Korkmaz and Recep Çakır",How Do Computational Thinking and Logical and Math Thinking Skills Predict Programming Self-Efficacy?,Computers in the Schools,41,1,51--73,2024,Routledge,10.1080/07380569.2023.2220696
Ferhat Kadir Pala and Pınar Mıhcı Türker,The effects of different programming trainings on the computational thinking skills,Interactive Learning Environments,29,7,1090--1100,2021,Routledge,10.1080/10494820.2019.1635495
