author,title,journal,volume,number,pages,year,publisher,doi
Beomkyu Choi and Michael F. Young,TPACK-L: teachers’ pedagogical design thinking for the wise integration of technology,"Technology, Pedagogy and Education",30,2,217--234,2021,Routledge,10.1080/1475939X.2021.1906312
Yizhou Qian and James Lehman,Using an automated assessment tool to explore difficulties of middle school students in introductory programming,Journal of Research on Technology in Education,54,3,375--391,2022,Routledge,10.1080/15391523.2020.1865220
"Georgie Tarling, Ana Melro, Judith Kleine Staarman and Taro Fujita",Making coding meaningful: university students’ perceptions of bootcamp pedagogies,Pedagogies: An International Journal,18,4,578--595,2023,Routledge,10.1080/1554480X.2022.2077338
Scott deLahunta and Frédéric Bevilacqua,Sharing descriptions of movement,International Journal of Performance Arts and Digital Media,3,1,3--16,2007,Routledge,10.1386/padm.3.1.3\_1
"Denise Martin, Peter G. O Donoghue, Jonathan Bradley and Denise McGrath",Developing a framework for professional practice in applied performance analysis,International Journal of Performance Analysis in Sport,21,6,845--888,2021,Routledge,10.1080/24748668.2021.1951490
"Xanthippi Tsortanidou, Thanasis Daradoumis and Elena Barberá",Developing social-emotional skills through imaginative teaching methods in elementary education,Early Child Development and Care,192,8,1201--1216,2022,Routledge,10.1080/03004430.2020.1854241
Todd J. B. Blayone and Roland VanOostveen,Prepared for work in Industry 4.0? Modelling the target activity system and five dimensions of worker readiness,International Journal of Computer Integrated Manufacturing,34,1,1--19,2021,Taylor \& Francis,10.1080/0951192X.2020.1836677
"Mohammed Jaboob, Manar Hazaimeh and Abdullah M. Al-Ansi",Integration of Generative AI Techniques and Applications in Student Behavior and Cognitive Achievement in Arab Higher Education,International Journal of Human–Computer Interaction,0,0,1--14,2024,Taylor \& Francis,10.1080/10447318.2023.2300016
"Lisa Hardy, Colin Dixon and Sherry Hsi",From Data Collectors to Data Producers: Shifting Students’ Relationship to Data,Journal of the Learning Sciences,29,1,104--126,2020,Routledge,10.1080/10508406.2019.1678164
"Mattia Miani, Miao Wang and Shih-Ching (Susan) Picucci-Huang",4 Is and a Dandelion: A Conceptual Framework to Address the Curriculum Development Challenges of Sino-British Foundation Years in China,Chinese Education \& Society,56,5-6,413--434,2023,Routledge,10.1080/10611932.2024.2303935
"Hayagreeva Rao, Phanish Puranam and Jasjit Singh",Does design thinking training increase creativity? Results from a field experiment with middle-school students,Innovation,24,2,315--332,2022,Routledge,10.1080/14479338.2021.1897468
Fatemeh Mardi,"Providing rigour, differentiation, and sense of community using a three-pronged VoiceThread discussion strategy during the pandemic","Technology, Pedagogy and Education",31,5,637--654,2022,Routledge,10.1080/1475939X.2022.2138959
"W. Monty Jones, Matt Caratachea, Micheal Schad and Jonathan D. Cohen",Examining K–12 teacher learning in a makerspace through the activity–identity–community framework,Journal of Research on Technology in Education,53,3,317--332,2021,Routledge,10.1080/15391523.2020.1774824
"Ai-Chu Elisha Ding, Jessica DuBois, Sunaina Asher, Michael Mick and Huali Fu",Let’s make a game! A case of co-designing with teachers from a research-practice partnership to integrate a virtual reality-enhanced digital game-based learning science unit,Journal of Research on Technology in Education,0,0,1--16,2024,Routledge,10.1080/15391523.2024.2313619
Mathias Decuypere,"Researching educational apps: ecologies, technologies, subjectivities and learning regimes","Learning, Media and Technology",44,4,414--429,2019,Routledge,10.1080/17439884.2019.1667824
Kajsa Bråting,From Symbolic Manipulations to Stepwise Instructions: A Curricular Comparison of Swedish School Algebra Content over the Past 40 Years,Scandinavian Journal of Educational Research,67,2,225--239,2023,Routledge,10.1080/00313831.2021.2006301
Alvin Eng Hui Lim,"Lemongrass, lotteries and the digital: interfaces, mediums, and underworld gods on a live-stream",Religion,52,2,214--230,2022,Routledge,10.1080/0048721X.2022.2051803
"Geeta Kashyap, Harsh Mishra and Harikrishnan Bhaskaran",Data journalists’ perception and practice of transparency and interactivity in Indian newsrooms,Media Asia,50,1,24--42,2023,Routledge,10.1080/01296612.2022.2076324
Edward C. Fletcher Jr. and Howard R. D. Gordon,The Status of Career and Technical Education Undergraduate and Graduate Programs in the United States,Peabody Journal of Education,92,2,236--253,2017,Routledge,10.1080/0161956X.2017.1302219
Amitai Etzioni,Job Collapse on the Road to New Athens,Challenge,60,4,327--346,2017,Routledge,10.1080/05775132.2017.1324186
"Joan N. Kaderavek, Peter Paprzycki, Charlene M. Czerniak, Susanna Hapgood, Gale Mentzer, Scott Molitor and Robert Mendenhall",Longitudinal impact of early childhood science instruction on 5th grade science achievement,International Journal of Science Education,42,7,1124--1143,2020,Routledge,10.1080/09500693.2020.1749908
"Adam Bennion, Elizabeth A. Davis and Annemarie S. Palincsar","Novice elementary teachers’ knowledge of, beliefs about, and planning for the science practices: a longitudinal study",International Journal of Science Education,44,1,136--155,2022,Routledge,10.1080/09500693.2021.2021311
"Noor Al-Qaysi, Mostafa Al-Emran, Mohammed A. Al-Sharafi, Mohammad Iranmanesh, Azhana Ahmad and Moamin A. Mahmoud",Determinants of ChatGPT Use and its Impact on Learning Performance: An Integrated Model of BRT and TPB,International Journal of Human–Computer Interaction,0,0,1--13,2024,Taylor \& Francis,10.1080/10447318.2024.2361210
"Anna Bargagliotti, Wendy Binder, Lance Blakesley, Zaki Eusufzai, Ben Fitzpatrick, Maire Ford, Karen Huchting, Suzanne Larson, Natasha Miric, Robert Rovetti, Kala Seal and Thomas Zachariah",Undergraduate Learning Outcomes for Achieving Data Acumen,Journal of Statistics Education,28,2,197--211,2020,Taylor \& Francis,10.1080/10691898.2020.1776653
"Kimberly Carroll Steward, David Gosselin, Devarati Bhattacharya, Mark Chandler and Cory T. Forbes",Teachers’ use and adaptation of a model-based climate curriculum: a three-year longitudinal study,Journal of Geoscience Education,0,0,1--13,2024,Routledge,10.1080/10899995.2024.2302788
"Martha L. Epstein, Hamza Malik, Kun Wang and Chandra H. Orrill",Unpacking Response Process Issues Encountered When Developing a Mathematics Teachers’ Pedagogical Content Knowledge (PCK) Assessment,Investigations in Mathematics Learning,15,3,205--221,2023,Routledge,10.1080/19477503.2023.2201115
"Vesife Hatisaru, Garry Falloon, Andrew Seen, Sharon Fraser, Markus Powling and Kim Beswick",Educational leaders’ perceptions of STEM education revealed by their drawings and texts,International Journal of Mathematical Education in Science and Technology,54,8,1437--1457,2023,Taylor \& Francis,10.1080/0020739X.2023.2170290
"Sheunghyun Yeo, Taekwon Son, Sunghwan Hwang, Jaepil Han and Sunghwan Byun",Race/ethnicity in mathematics education: what topics appear and how do they change over time?,International Journal of Mathematical Education in Science and Technology,0,0,1--22,2024,Taylor \& Francis,10.1080/0020739X.2023.2295889
Chaoqun Lu and Winnie Wing Mui So,Translanguaging in scientific practices: a study of high school teachers in English Medium Instruction inquiry-based science classrooms,International Journal of Science Education,45,10,850--871,2023,Routledge,10.1080/09500693.2023.2175628
"Laura Alvarez, Marguerite De Loney, Sarah Capitelli, Guadalupe Valdés and Paulina Julia Biernacki",Expanding participation: supporting newcomer students’ language development through disciplinary practices,Language and Education,37,1,1--21,2023,Routledge,10.1080/09500782.2022.2028825
"Beaumie Kim, Reyhaneh Bastani and Miwa A. Takeuchi",Embodied mathematical practices in (re)designing board games in a linguistically diverse classroom,Pedagogies: An International Journal,18,2,289--310,2023,Routledge,10.1080/1554480X.2021.2013232
Chris Salter and Takashi Ikegami,Sensing performance: from Balinese character to Japanese androids,Theatre and Performance Design,9,1-2,91--111,2023,Routledge,10.1080/23322551.2023.2207966
Deborah Nolan and Jamis Perrett,Teaching and Learning Data Visualization: Ideas and Assignments,The American Statistician,70,3,260--269,2016,ASA Website,10.1080/00031305.2015.1123651
Eugene Judson,Effects of Transferring to STEM-Focused Charter and Magnet Schools on Student Achievement,The Journal of Educational Research,107,4,255--266,2014,Routledge,10.1080/00220671.2013.823367
"Sarah J. Selmer, James A. Rye, Elizabeth Malone, Danielle Fernandez and Kathryn Trebino",What Should We Grow in Our School Garden to Sell at the Farmers’ Market? Initiating Statistical Literacy through Science and Mathematics Integration,Science Activities,51,1,17--32,2014,Routledge,10.1080/00368121.2013.860418
"Emmy Vrieling-Teunter, Nicky de Vries, Patrick Sins and Marjan Vermeulen",Student motivation in teacher learning groups,European Journal of Teacher Education,47,3,491--507,2024,Routledge,10.1080/02619768.2022.2086119
"Wei Wei Chu, Eng Tek Ong, Shahrul Kadri Ayop, Mohd Syahriman Mohd Azmi, Arman Shah Abdullah, Nor Suriya Abd Karim and Siew Wei Tho",The innovative use of smartphone for sound STEM practical kit: a pilot implementation for secondary classroom,Research in Science \& Technological Education,41,3,1008--1030,2023,Routledge,10.1080/02635143.2021.1978963
"M. van den Berg, E. G. Harskamp and C. J. M. Suhre",Developing classroom formative assessment in dutch primary mathematics education,Educational Studies,42,4,305--322,2016,Routledge,10.1080/03055698.2016.1193475
Jung Han and T. R. Kelley,STEM Integration through shared practices: examining secondary science and engineering technology students’ concurrent think-aloud protocols,Journal of Engineering Design,33,5,343--365,2022,Taylor \& Francis,10.1080/09544828.2022.2042498
Jesse Kuokkanen and Anna-Mari Rusanen,Making too many enemies: Hutto and Myin’s attack on computationalism†,Philosophical Explorations,21,2,282--294,2018,Routledge,10.1080/13869795.2018.1477980
"Christos Katsanos, Michalis Xenos, Nikolaos Tselios and Nikos Karousos",Tool-mediated HCI modelling instruction: evidence from three studies,Behaviour \& Information Technology,41,1,18--31,2022,Taylor \& Francis,10.1080/0144929X.2020.1790661
Ciara Molloy and Rachel Farrell,Cultivating Positive Classroom Environments: Exploring the Efficacy of Immersive Technologies in Removing Barriers to Learning Among Primary School Students,Computers in the Schools,41,2,164--192,2024,Routledge,10.1080/07380569.2024.2325441
Linda Werner and Jill Denning,Pair Programming in Middle School,Journal of Research on Technology in Education,42,1,29--49,2009,Routledge,10.1080/15391523.2009.10782540
Hanaa Ouda Khadri Ahmed,Exploring possible futures of makerspaces as an important basic component of K-12 education,Pedagogies: An International Journal,18,3,450--472,2023,Routledge,10.1080/1554480X.2022.2065997
Shayan Doroudi,"The forgotten African American innovators of educational technology: stories of education, technology, and civil rights","Learning, Media and Technology",49,1,63--79,2024,Routledge,10.1080/17439884.2023.2237892
Bahareh R. Heravi,3Ws of Data Journalism Education,Journalism Practice,13,3,349--366,2019,Routledge,10.1080/17512786.2018.1463167
Veronica Cassone McGowan and Philip Bell,“I now deeply care about the effects humans are having on the world”: cultivating ecological care and responsibility through complex systems modelling and investigations,Educational and Developmental Psychologist,39,1,116--131,2022,Routledge,10.1080/20590776.2022.2027212
"Juan Yang, Michael S. C. Thomas, Xiaofei Qi and Xuan Liu",Using an ANN-based computational model to simulate and evaluate Chinese students’ individualized cognitive abilities important in their English acquisition,Computer Assisted Language Learning,32,4,366--397,2019,Routledge,10.1080/09588221.2018.1517125
Emine Kandin and Emine Şendurur,The effects of goal-based scenarios used for programming education of 5th graders,Interactive Learning Environments,31,10,6335--6355,2023,Routledge,10.1080/10494820.2022.2036199
"Kadriye Ercikan, Hongwen Guo and Qiwei He",Use of Response Process Data to Inform Group Comparisons and Fairness Research,Educational Assessment,25,3,179--197,2020,Routledge,10.1080/10627197.2020.1804353
"Audrey Cooney, Derbhile de Paor, Ciarán Ó Gallchóir and Patricia Mannix McNamara",Not ‘just consumers of content’: early insights into the policy enactment of the Digital Learning Framework,"Technology, Pedagogy and Education",32,4,457--472,2023,Routledge,10.1080/1475939X.2023.2228320
Esther Garza and María Guadalupe Arreguín-Anderson,Translanguaging: Developing scientific inquiry in a dual language classroom,Bilingual Research Journal,41,2,101--116,2018,Routledge,10.1080/15235882.2018.1451790
"Dolores D. Lopez, Susan Yonezawa, Seaera Juarez and Ericka Tapia",Computer science for English learners: supporting teacher learning and improved practice to engage multilinguals in AP computer science principles,Journal of Research on Technology in Education,0,0,1--18,2024,Routledge,10.1080/15391523.2024.2402359
"Timur Sadykov, Gulmira Kokibasova, Yelena Minayeva, Aliyash Ospanova and Maral Kasymova",A systematic review of programmed learning approach in science education,Cogent Education,10,1,2189889,2023,Cogent OA,10.1080/2331186X.2023.2189889
Lucy Avraamidou,Developing a Reform-Minded Science Teaching Identity: The Role of Informal Science Environments,Journal of Science Teacher Education,25,7,823--843,2014,Routledge,10.1007/s10972-014-9395-y
"Gale M. Sinatra, Benjamin C. Heddy and Doug Lombardi",The Challenges of Defining and Measuring Student Engagement in Science,Educational Psychologist,50,1,1--13,2015,Routledge,10.1080/00461520.2014.1002924
"Sevgi Aydin Gunbatar, Betul Ekiz Kiran, Yezdan Boz and Gillian H. Roehrig",A closer examination of the STEM characteristics of the STEM activities published in NSTA journals,Research in Science \& Technological Education,0,0,1--26,2022,Routledge,10.1080/02635143.2022.2121692
İlbilge Dökme and Zeynep Koyunlu Ünlü,An effective intervention using STEM instruction for improving preservice science teachers’ self-efficacy,Research in Science \& Technological Education,0,0,1--22,2023,Routledge,10.1080/02635143.2023.2209847
"Janan Saba, Hagit Hel-Or and Sharona T. Levy",Much.Matter.in.Motion: learning by modeling systems in chemistry and physics with a universal programing platform,Interactive Learning Environments,31,5,3128--3147,2023,Routledge,10.1080/10494820.2021.1919905
"Tiffani Apps, Shirley Agostinho and Sue Bennett",‘Maybe it’s the environment you grow up in?’ Australian primary school students’ reflections on their school-based digital literacy,"Technology, Pedagogy and Education",31,2,231--246,2022,Routledge,10.1080/1475939X.2021.1973550
Bruno de Paula,"Reflexivity, methodology and contexts in participatory digital media research: making games with Latin American youth in London","Learning, Media and Technology",46,4,435--450,2021,Routledge,10.1080/17439884.2021.1901114
"Shangyuan Wu, Edson C. Tandoc Jr. and Charles T. Salmon",When Journalism and Automation Intersect: Assessing the Influence of the Technological Field on Contemporary Newsrooms,Journalism Practice,13,10,1238--1254,2019,Routledge,10.1080/17512786.2019.1585198
Zhanxia Yang and Marina Bers,Examining Gender Difference in the Use of ScratchJr in a Programming Curriculum for First Graders,Computer Science Education,0,0,1--22,2023,Routledge,10.1080/08993408.2023.2224135
Bing Wei and Xiaoxiao Li,Exploring science teachers’ perceptions of experimentation: implications for restructuring school practical work,International Journal of Science Education,39,13,1775--1794,2017,Routledge,10.1080/09500693.2017.1351650
"T.E. Vossen, I. Henze, R.C.A. Rippe, J.H. Van Driel and M.J. De Vries",Attitudes of secondary school students towards doing research and design activities,International Journal of Science Education,40,13,1629--1652,2018,Routledge,10.1080/09500693.2018.1494395
"Brian Creese, Alvaro Gonzalez and Tina Isaacs",Comparing international curriculum systems: the international instructional systems study,The Curriculum Journal,27,1,5--23,2016,Routledge,10.1080/09585176.2015.1128346
"Laura Zangori, Patricia J. Friedrichsen, Eric Wulff and Andrew J. Womack",Using the Practice of Modeling to Support Preservice Teachers’ Reflection on the Process of Teaching and Learning,Journal of Science Teacher Education,28,7,590--608,2017,Routledge,10.1080/1046560X.2017.1389223
Siu-Cheung Kong,Parents’ perceptions of e-learning in school education: implications for the partnership between schools and parents,"Technology, Pedagogy and Education",27,1,15--31,2018,Routledge,10.1080/1475939X.2017.1317659
"Jean J. Ryoo, Michelle Choi, Wei Wei, Jacqualyn Blizzard-Caron, Ryan Clarke, Lillian Kohn and Daniel Voloch",“I just hope that I can change the world”: supporting student agency in CS for All,Journal of Research on Technology in Education,0,0,1--15,2024,Routledge,10.1080/15391523.2024.2399270
Lina Rahm,"Education, automation and AI: a genealogy of alternative futures","Learning, Media and Technology",48,1,6--24,2023,Routledge,10.1080/17439884.2021.1977948
Sina Thäsler-Kordonouri,What Comes After the Algorithm? An Investigation of Journalists’ Post-editing of Automated News Text,Journalism Practice,0,0,1--20,2024,Routledge,10.1080/17512786.2024.2404692
Alan F Blackwell,When Systemizers Meet Empathizers: Universalism and the Prosthetic Imagination,Interdisciplinary Science Reviews,35,3-4,387--403,2010,Taylor \& Francis,10.1179/030801810X12772143410485
Horst Bayrhuber and Volker Frederking,Subject didactic knowledge (SDK). A heuristic model based on a theory of functional and personal facets of subject-matter education (SME) and its empirical implications,Journal of Curriculum Studies,56,3,246--265,2024,Routledge,10.1080/00220272.2024.2318736
Kartika Bhatia and Margaret Leighton,Teachers on the Move: Evidence From a Large-Scale Learning Intervention During Lockdown,The Journal of Development Studies,60,7,1002--1020,2024,Routledge,10.1080/00220388.2024.2337381
Hüsnüye Durmaz and Seçkin Mutlu,The effect of an instructional intervention on elementary students' science process skills,The Journal of Educational Research,110,4,433--445,2017,Routledge,10.1080/00220671.2015.1118003
