author,title,journal,volume,number,pages,year,publisher,doi
"Stanislaw Schukajlow, Gabriele Kaiser and Gloria Stillman",Modeling from a cognitive perspective: theoretical considerations and empirical contributions,Mathematical Thinking and Learning,25,3,259--269,2023,Routledge,10.1080/10986065.2021.2012631
"Catarina Player-Koro, Annika Bergviken Rensfeldt and Neil Selwyn",Selling tech to teachers: education trade shows as policy events,Journal of Education Policy,33,5,682--703,2018,Routledge,10.1080/02680939.2017.1380232
"Merijke Coenraad, Connor Hopcraft, Jane Jozefowicz, Diana Franklin, Jen Palmer and David Weintrop",Helping teachers make equitable decisions: effects of the TEC Rubric on teachers’ evaluations of a computing curriculum,Computer Science Education,31,3,400--429,2021,Routledge,10.1080/08993408.2020.1788862
Allan J. Rossman and Nicholas J. Horton,Interview With Nicholas J. Horton,Journal of Statistics Education,26,3,234--245,2018,Taylor \& Francis,10.1080/10691898.2018.1541653
"Xinli Zhang, Yuchen Chen, Yiwei Bao and Lailin Hu",Robot illustrated: Exploring elementary students’ perceptions of robots via the draw-a-robot test,Journal of Research on Technology in Education,0,0,1--26,2023,Routledge,10.1080/15391523.2023.2232058
Kevin D. Finson and Jon E. Pedersen,Testing a Conceptual Change Model Framework for Visual Data,Journal of Visual Literacy,34,1,57--88,2015,Routledge,10.1080/23796529.2015.11674723
"Lori A. Caudle, Margaret F. Quinn, Frances K. Harper, Hannah R. Thompson, Tabatha R. Rainwater and Charles E. Flowers Jr.",“Any Other Thoughts?”: Establishing Third Space in a Family-School-University STEM Partnership to Center Voices of Parents and Teachers,Peabody Journal of Education,99,3,274--294,2024,Routledge,10.1080/0161956X.2024.2357010
Marte Blikstad-Balas and Chris Davies,Assessing the educational value of one-to-one devices: have we been asking the right questions?,Oxford Review of Education,43,3,311--331,2017,Routledge,10.1080/03054985.2017.1305045
"Jessica Vandenberg, Collin Lynch, Kristy Elizabeth Boyer and Eric Wiebe",“I remember how to do it”: exploring upper elementary students’ collaborative regulation while pair programming using epistemic network analysis,Computer Science Education,33,3,429--457,2023,Routledge,10.1080/08993408.2022.2044672
"Alexandra Vuyk, Maureen Montania, Liz Barrios and Montserrat Lobo",Gifted education in Paraguay: analyses from a learning-resource perspective,Cogent Education,11,1,2332863,2024,Cogent OA,10.1080/2331186X.2024.2332863
"Debora Lui, Deborah A. Fields and Yasmin B. Kafai","Collaborative Troubleshooting in STEM: A Case Study of High School Students Finding and Fixing Code, Circuit and Craft Challenges in Electronic Textiles",Cognition and Instruction,42,3,359--398,2024,Routledge,10.1080/07370008.2024.2334697
Brian Danielak,How Code Takes Shape: Studying a Student’s Program Evolution,Cognition and Instruction,40,2,266--303,2022,Routledge,10.1080/07370008.2022.2044330
Melissa Parks,Model eliciting activities: another tool for the elementary teaching toolbox,Science Activities,57,2,77--87,2020,Routledge,10.1080/00368121.2020.1782315
Sebastian Borowicz,Technopaideia in Literary Education,Computers in the Schools,40,4,356--369,2023,Routledge,10.1080/07380569.2023.2244940
Philip Cooke,Learning as imitation or mimesis: how ‘smart’ is machine learning for its planning controllers?,European Planning Studies,31,7,1345--1357,2023,Routledge,10.1080/09654313.2022.2124102
"Hsueh-Hua Chuang, Ming-Hung Hsieh, Ying-Yao Cheng and Chia-Chi Wang",An Instrument for Assessing the Development of Scientific Imagination via Digital Storytelling for Elementary School Students,Creativity Research Journal,31,4,408--418,2019,Routledge,10.1080/10400419.2019.1670025
Joe Krajcik and Ibrahim Delen,The Benefits and Limitations of Educative Curriculum Materials,Journal of Science Teacher Education,28,1,1--10,2017,Routledge,10.1080/1046560X.2017.1279470
"Baichang Zhong, Jijun Zheng and Zehui Zhan",An exploration of combining virtual and physical robots in robotics education,Interactive Learning Environments,31,1,370--382,2023,Routledge,10.1080/10494820.2020.1786409
"Katarina Pajchel, Kirsti Marie Jegstad, Gunilla Eklund, Siv G Aalbergsjø and PerØyvind Sollid",The role of school placement within research-based teacher education–through the eyes of science mentors,Teachers and Teaching,27,1-4,193--205,2021,Routledge,10.1080/13540602.2021.1933416
Ahmad Qablan,Teaching and learning about science practices: insights and challenges in professional development,Teacher Development,20,1,76--91,2016,Routledge,10.1080/13664530.2015.1111929
"Debalina Maitra, Steven McGee, Randi McGee-Tekula and Catherine McGee",Investigating the Equity Imperative in High School Computer Science Curriculum for Latinx Students,Journal of Latinos and Education,23,4,1514--1524,2024,Routledge,10.1080/15348431.2023.2279588
"Sukie van Zyl, Elsa Mentz and Marietjie Havenga",Lessons Learned from Teaching Scratch as an Introduction to Object-oriented Programming in Delphi,"African Journal of Research in Mathematics, Science and Technology Education",20,2,131--141,2016,Routledge,10.1080/18117295.2016.1189215
"Youngjin Song, Teresa Higgins and Jenni Harding-DeKam",Sweet Science for ALL! Supporting Inquiry-Based Learning Through M\&Ms Investigation for English Language Learners,Science Activities,51,2,52--65,2014,Routledge,10.1080/00368121.2014.891563
G. Michael Bowen and Anthony Bartley,Helping students make sense of the “real world” data mess,Science Activities,57,4,143--153,2020,Routledge,10.1080/00368121.2020.1843387
Jo-ann Larkins and Katherine Seaton,Our cheating is not your cheating: signature misconduct exemplified in mathematics,Assessment \& Evaluation in Higher Education,0,0,1--11,2024,SRHE Website,10.1080/02602938.2024.2342921
Nesrin Işıkoğlu and Müzeyyen Güzen,The promise of digital storytelling for kindergarteners: language and technology skills,Early Child Development and Care,194,2,195--207,2024,Routledge,10.1080/03004430.2023.2299389
"Athanasia Kotsiou, Dina Daniela Fajardo-Tovar, Tom Cowhitt, Louis Major and Rupert Wegerif",A scoping review of Future Skills frameworks,Irish Educational Studies,41,1,171--186,2022,Routledge,10.1080/03323315.2021.2022522
Mohammed Estaiteyeh and Isha DeCoito,Differentiated instruction in digital video games: STEM teacher candidates using technology to meet learners’ needs,Interactive Learning Environments,32,7,3768--3782,2024,Routledge,10.1080/10494820.2023.2190360
Julian Stander and Luciana Dalla Valle,"On Enthusing Students About Big Data and Social Media Visualization and Analysis Using R, RStudio, and RMarkdown",Journal of Statistics Education,25,2,60--67,2017,Taylor \& Francis,10.1080/10691898.2017.1322474
"Damián Keller, Victor Lazzarini, Luca Turchet and Anthony L. Brooks",Ubimus contributions to digital creative practices (Editorial),Digital Creativity,35,1,1--12,2024,CAA Website,10.1080/14626268.2024.2334027
"Thomas Roberts, Cathrine Maiorca, Christa Jackson and Margaret Mohr-Schroeder",Integrated STEM as Problem-Solving Practices,Investigations in Mathematics Learning,14,1,1--13,2022,Routledge,10.1080/19477503.2021.2024721
"Tamar McPherson, Stephanie Reilly and Colleen Smith","Middle School Girls Gain Confidence, Competence, and Interest Through Summer STEAM Camp",Connected Science Learning,1,9,12420532,2019,Routledge,10.1080/24758779.2019.12420532
"Meltem Emen-Parlatan, Seval Ördek-İnceoğlu, İrem Gürgah-Oğul and Durmuş Aslan",Technology and early mathematics skills: Effectiveness of I Love Math with Robots,The Journal of Educational Research,116,2,90--99,2023,Routledge,10.1080/00220671.2023.2203092
To-Cheng Wang and Yu-Ju Hung,Gamification of Learning Aviation Knowledge for Improving the Efficiency of Flight Training,The International Journal of Aerospace Psychology,0,0,1--15,2024,Routledge,10.1080/24721840.2024.2358763
"Tony J. Ward, Naomi Delaloye, Earle Raymond Adams, Desirae Ware, Diana Vanek, Randy Knuth, Carolyn Laurie Hester, Nancy Noel Marra and Andrij Holian", Air Toxics Under the Big Sky: examining the effectiveness of authentic scientific research on high school students’ science skills and interest,International Journal of Science Education,38,6,905--921,2016,Routledge,10.1080/09500693.2016.1167984
"Scott Alterator, Craig Deed and Vaughan Prain",Encapsulating teacher expertise in action,Teachers and Teaching,24,4,450--460,2018,Routledge,10.1080/13540602.2017.1399874
"Theodosios Sapounidis, Sokratis Tselegkaridis and Dimitrios Stamovlasis",Educational robotics and STEM in primary education: a review and a meta-analysis,Journal of Research on Technology in Education,56,4,462--476,2024,Routledge,10.1080/15391523.2022.2160394
Courtney Karasinski,"Comprehension of narratives, non-fiction, and complex syntax as predictors of science achievement","Speech, Language and Hearing",19,4,203--210,2016,Taylor \& Francis,10.1080/2050571X.2016.1187465
Carolyn Pedwell,Speculative machines and us: more-than-human intuition and the algorithmic condition,Cultural Studies,38,2,188--218,2024,Routledge,10.1080/09502386.2022.2142805
Brian Dorn and Allison Elliott Tew,Empirical validation and application of the computing attitudes survey,Computer Science Education,25,1,1--36,2015,Routledge,10.1080/08993408.2015.1014142
