"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Teaching Mode and Practice Analysis of College Computer Basic Course Based on Computational Thinking","C. Xue; W. Zhun","Department of Computer Science and Engineering, Guangzhou College of Technology and Business, Guangzhou, China; Department of Computer Science and Engineering, Guangzhou College of Technology and Business, Guangzhou, China",2020 13th International Conference on Intelligent Computation Technology and Automation (ICICTA),"13 Sep 2021","2020","","","266","269","This paper mainly adopts the theory with practice, combines the computational thinking method with education and teaching, and constructs the inquiry teaching model based on computational thinking. We adopt the formal teaching model and learning model, incremental expression of computational thinking ability to improve the effect, from the computational thinking of automation, abstract characteristics of the teaching and learning model based on computational thinking formalization. Then, in the case study, the learning support technology scheme of MOOC course platform combining mobile terminal and HTML5 is designed. Through teaching practice and quantitative analysis of experimental behavior, the platform effectively avoids the interference of programming language code, which simplifies the expression and application process of algorithm thinking, and enhances students' interest and operation of programming working ability.","","978-1-7281-8666-5","10.1109/ICICTA51737.2020.00063","Guangdong Province “Research and Practical Exploration on the Reform of Computer Basic Teaching Mode Combined with Innovation Ability and Computational Thinking”(grant numbers:20191206); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526726","computational thinking;practice analysis;computer basic teaching;HTML;MOOC","Computer languages;Computer aided instruction;Automation;Electronic learning;Codes;Statistical analysis;Computational modeling","","1","","8","IEEE","13 Sep 2021","","","IEEE","IEEE Conferences"
"Computational Thinking Education: Who Let the Dog Out?","S. Swaid; T. Suid","Department of Computer Science, Philander Smith College, Little Rock, AR; Department of Computer Science, University of Arkansas at Little Rock, Little Rock, AR",2019 International Conference on Computational Science and Computational Intelligence (CSCI),"20 Apr 2020","2019","","","788","792","Today, Computational Thinking is seen as an important competency and the fourth skill that every child should process. Several significant attempts have been made to increase a student's exposure to Computational Thinking at the K-12 level, however the process is complex and requires systematic planning and comprehensive curriculum. In this paper, we describe the STEPP-UP program that aims to introduce middle schoolers to Computational Thinking via Scratch and Java coding sessions. A comprehensive curriculum and hands-on activities are applied to introduce Computational Thinking for a total of 41 students for a period of five semesters from Fall 2017 until Fall 2019. To assess the learning objectives, we used three methods of evaluation; design-scenarios, paper-assessments, and learner-documentation. Findings indicate that the students have increased knowledge of Computational Thinking and its applications for problem solving.","","978-1-7281-5584-5","10.1109/CSCI49370.2019.00150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071265","Computational Thinking, K -12, Problem Solving, Java, Scratch Linear Search, Coding Literacy","Java;Programming;Sprites (computer);Tools;Education;Dogs;Computed tomography","","4","","19","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Computational Thinking & Practical Thinking Inspired Java Web Curriculum Reform Method","F. Yu; H. Wang","School of Information Science and Engineering, Shandong Normal University; School of Information Science and Engineering, Shandong Normal University",2019 10th International Conference on Information Technology in Medicine and Education (ITME),"23 Jan 2020","2019","","","312","316","Both Computational thinking and Practical thinking are important concepts of great concern to the international computer community. They are also hot topics needed to be studied in education. Inspired by these two kinds of thinking, we expound how to better carry out teaching practice. The teaching process is task-oriented, teacher-led and student-centered. In the whole teaching process, teachers use the way of integrating computational thinking with practical thinking to prepare courses, design tasks and guide students to complete learning tasks. Compared with the traditional teaching mode, the teaching mode of integrating computational thinking and practical thinking has made great progress in training students' computer practical ability and innovation ability. It can not only improve learning efficiency, but also train students' computer practical ability. Finally, the feasibility and efficiency of this method are verified by Java Web course design.","2474-3828","978-1-7281-3918-0","10.1109/ITME.2019.00078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964889","Computational Thinking;Practical Thinking;Java Web","Java;Task analysis;Programming;Software;Training;Information technology","","3","","10","IEEE","23 Jan 2020","","","IEEE","IEEE Conferences"
"Computer Science Unplugged for Developing Computational Thinking and Mathematical Thinking","T. Nakamura; T. Kawasaki","Graduate School of Education, Gifu university, Gifu, Japan; Faculty of Education, Gifu University, Gifu, Japan","2019 International Joint Conference on Information, Media and Engineering (IJCIME)","16 Apr 2020","2019","","","305","308","The purpose of this study is to make learning material that can develop both Computational thinking and Mathematical thinking. This study suggest a hamburger flowchart as a teaching material that combines the three elements of ""unplugged"", ""thinking from the end "" and ""mathematics class"". Using this flowchart, basic experiment was conducted for 8 to 12 years old. The purpose of this experiment is to confirm whether it is possible for children to develop both Computational thinking and Mathematical thinking by using the hamburger flowchart. We evaluated both Computational thinking and Mathematical thinking from the state in this class and the content of the worksheet and prior and subsequent tests. As a result, the state related to Computational thinking and Mathematical thinking increased, and the correct answer rate of many children increased from the prior test to the subsequent test. Therefore it turned out that the hamburger flowchart affects mathematical thinking.","","978-1-7281-5586-9","10.1109/IJCIME49369.2019.00108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066359","21st-century-skills;Computational-thinking;Mathematical-thinking;thinking-from-the-end","Flowcharts;Programming profession;Tools;Education;Sugar;Toxicology","","2","","6","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"Performance-based evaluation of computational thinking skills using machine learning","E. Karakaş; M. Turhan Yöndem","Mühendislik Fakültesi, İstanbul Okan Üniversitesi, İstanbul, TÜRKİYE; Mühendislik Fakültesi, İstanbul Okan Üniversitesi, İstanbul, TÜRKİYE",2020 Turkish National Software Engineering Symposium (UYMS),"9 Nov 2020","2020","","","1","5","This thesis study is an evaluation tool that measures the user's Computational Thinking (CT) according to its performance on Block-Based Programming Languages (BBPL) by using Machine Learning Techniques. The evaluation tool makes an evaluation for Machine Learning Model and each of the Computational Thinking seven fields. Via this developed tool, the objective is to product an alternative to the limited evaluation tools on Block-Based Programming Languages. Literature research was brought out in two sides as Machine Learning and Block-Based Programming Languages. In the first stage, on Machine Learning, the data set and the methods used in educational field were researched. In the second stage, the devices which are used to measure the performance on Block- Based Programming Languages were analyzed. On literature, there are various sources for teaching Computational Thinking ,but it occurs that measuring instruments that evaluates Computational Thinking are inadequate. To evaluate Computational Thinking a machine learning model was trained. Trained model was turned into online evaluation tool by which both the tutors and the students evaluate Computational Thinking easily. In the final stage, the developed online evaluation tool and the outcome was analyzed.","","978-1-7281-8541-5","10.1109/UYMS50627.2020.9247066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247066","Machine Learning;Block-Based Programming Languages;Computational Thinking","Performance evaluation;Computer languages;Computational modeling;Machine learning;Tools;Programming profession;Software engineering","","","","19","IEEE","9 Nov 2020","","","IEEE","IEEE Conferences"
"Assessment of Computational Thinking in regular basic education: case I.E.T.P. “José Obrero”","R. P. Curasma; N. J. Jara; H. P. Curasma; V. C. Ornetta","Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor, de San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú","2019 IEEE XXVI International Conference on Electronics, Electrical Engineering and Computing (INTERCON)","3 Oct 2019","2019","","","1","4","In regular basic education environments, one of the challenges of Computer and Computing courses or similar is to motivate students, who perceive programming as a difficult task. Arduino board is recognized as a tool to improve programming skills and to facilitate teamwork. In this paper, Computational Thinking is evaluated through concepts, practices and computational perspectives of the activities carried out with the Arduino board by the 5th-grade students of secondary education of the “José Obrero” Parochial Technical Educational Institution in the district of San Mateo from the province of Huarochirí of Lima region.","","978-1-7281-3646-2","10.1109/INTERCON.2019.8853613","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8853613","Computational thinking;computational dimensions;Arduino;programming;coding;regular basic education","Education;Programming profession;Tools;Encoding;Computational modeling","","","","22","IEEE","3 Oct 2019","","","IEEE","IEEE Conferences"
"Fractal Geometry: Enhancing Computational Thinking with MIT Scratch","R. Vinayakumar; K. Soman; P. Menon","Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore","2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","18 Oct 2018","2018","","","1","6","Recent developments in pedagogy have focused upon computational thinking. Computational thinking provides a way to solve the problem and it is a key practice of science education. The importance of computational thinking is rarely found in K-12 education. Computational thinking is a an important skill everyone needs and it is correlated with many other concepts. These factors have made the development of new tools and syllabus. In this paper, we aim to show the experiments of fractal geometry using MIT Scratch. These computational exercises facilitate to learn many of computational thinking skills that are very important for the people in the near future. Based on our experience with students, we claim that the concept of fractal and its implementation in MIT Scratch is the best practices to improve computational thinking in K-12 school level students.","","978-1-5386-4430-0","10.1109/ICCCNT.2018.8494172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494172","Computational thinking;fractal geometry;Scratch;K-12 education;block based programming;21st century learning skills","Fractals;Programming profession;Education;Visualization;Games","","1","","19","IEEE","18 Oct 2018","","","IEEE","IEEE Conferences"
"Comparing computational thinking skills of engineering students in urban and rural areas of Peru","N. A. Nunez; G. Cornejo-Meza; S. A. Sánchez","Departamento de Ingeniería Industrial, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Santiago, Chile; Departamento Académico de Psicología, Pontificia Universidad Católica del Perú, Lima, Perú; Centrum Católica Graduate Business School, Pontificia Universidad Católica del Perú, Lima, Perú",2020 IEEE ANDESCON,"1 Dec 2020","2020","","","1","5","The present study focuses on comparing the achievement levels of computational thinking skills in first-year engineering students at two Peruvian universities, one located in an area with a high human development index (Lima) and the other in a more vulnerable area (Amazonas). The study is based on a computational thinking competence assessment model carried out with 112 students who were given challenges and problems. The results show that: (a) the achievement levels of computational thinking competences differ significantly between the Lima group and the Amazonas group, (b) the highest levels of competence achievement are associated with students who had some level of previous instruction in secondary education, and (c) the differences in the achievement of computational thinking skills according to student gender are not significant.","","978-1-7281-9365-6","10.1109/ANDESCON50619.2020.9272097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272097","computational thinking;education in engineering;Peru;Latin America;vulnerable environments","Education;Analysis of variance;Programming profession;Conferences;Training;Standards;Engineering students","","2","","23","IEEE","1 Dec 2020","","","IEEE","IEEE Conferences"
"Developing a Teacher Training Curriculum Including Computational Thinking Skills: Early Advances on a Study Focused on Colombia","A. Muñoz del Castillo; M. A. Muñoz; L. C. Acosta Huertas; E. Herrera; J. Jimenez Toledo; D. X. Ramos","Universidad de Santander, Pasto, Colombia; University of Melbourne, Melbourne, VIC, Australia; Escuela Normal Superior de Pasto, Pasto, Colombia; Escuela Normal Superior de Pasto, Pasto, Colombia; Institucion Universitaria CESMAG, Pasto, Colombia; Institución Universitaria CESMAG, Pasto, Colombia",2019 XIV Latin American Conference on Learning Technologies (LACLO),"13 Feb 2020","2019","","","8","11","During training at the Complementary Formation Program (CFP), Colombian primary school teachers do not acquire Computational Thinking (CT) skills, which are considered fundamental for the knowledge economies of the 21st century. In this paper, we describe the early stages of a project aiming to reform the CFP curriculum, such that CT skills becomes an integral part. As a first step, we carried-out four introductory workshops with 64 first-and third-semester CFP students and then surveyed them to gather their perceptions on CT. The results show that the students have a limited understanding of CT and its associated skills, but they recognize their importance. Moreover, they agree that primary school should be the starting point to develop them. The project will continue gathering information from current CFP teachers, current primary school teachers, and university professors who are experts in curriculum development, to develop the curricular proposal.","","978-1-7281-4286-9","10.1109/LACLO49268.2019.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995162","Computational Thinking;Curriculum design;Teacher training","","","2","","27","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"The Development and Challenges of Computational Thinking Board Games","S. -Y. Wu","Department of Science Communication, National Pingtung University, Pingtung, Taiwan",2018 1st International Cognitive Cities Conference (IC3),"9 Dec 2018","2018","","","129","131","The promotion of computational thinking education has become a worldwide trend. To cultivate the computational thinking ability of children at young age, many computational thinking board games have appeared recently. This article introduces five computational thinking board games, including Robot Turtles, King of Pirates, Doggy Code, ROBOT WARS Coding Board Game, and Code master, and then to analyze its characteristics respectively. Additionally, this article also points out the current limitations and challenges of computational thinking board games. We hope more schools or operators will join the development of computational thinking education in the future.","","978-1-5386-5059-2","10.1109/IC3.2018.00-45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8567181","computational thinking, board game, coding, game-based learning","Games;Education;Programming profession;Robots;Encoding","","6","","11","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
